A11,A12,A21,A22,B1,step_amp,best_Kp,best_Ki,best_Kd,best_Score
-4.11553130795809,-0.219303637380159,5.48943711205991,-10.6302898930597,2.14113994416995,0.806258123118401,25.7339588229949,75.5297920493989,0,137.95196239592
-4.09451813653492,-0.185686852508338,4.76213014465926,-10.4488203566554,1.88008823634651,1.23891805308304,22.3886820826846,46.101235072023,0,224.682795446831
-4.38610187474037,-0.202537417548619,5.08867686153355,-10.0614091018175,1.86333934019309,0.905995382792506,17.6103220187329,51.6809737513628,0,147.803704920905
-4.25347983952952,-0.218428859478032,5.09952569139507,-10.9536079870482,1.92858462914301,1.48913794711754,25.030050154247,68.1193364484428,0,301.569942980545
-3.95450759025316,-0.207542667579306,4.82229211105209,-9.20856052164606,1.81938001239747,0.858965791319955,24.6055717335553,35.400863782419,0,143.048956872634
-4.08290663547738,-0.184756646527801,5.27569217867495,-9.90272695839142,2.06259920139135,0.777812955001158,13.8746353428407,33.4928797916091,0,116.53853294016
-4.01121885354315,-0.190878834876745,5.41744448569318,-10.8890872295982,2.02047152905161,0.999102221134991,24.8951317306559,52.3230885510778,0,170.848994472801
-4.00300606293772,-0.21085352688359,5.27657729195984,-10.4803230967243,2.17422799101056,1.15335353283797,10.1214468412231,25.7463117131637,0,189.005095650884
-4.16657456079009,-0.211666680136852,4.75516826495087,-9.53471341061893,2.14903255697889,1.06258247534536,23.2701186489902,42.5727742969747,0,186.537732719558
-3.70539935574988,-0.191022660208679,5.17924637861141,-10.2648906687269,2.19658008685733,0.813703746368815,22.0830337323932,59.6267826676448,0.126001267736985,596.933518901866
-3.74541755903527,-0.20794553141731,5.21886390252157,-9.54257518391859,2.0737628349097,1.41206762469518,27.657408149281,75.849631144052,0,312.000841360797
-4.01908824082696,-0.197064973632921,5.04318260636085,-10.606811404371,2.14880400032708,0.833647099540037,20.8997053895288,40.8220646587139,0,131.547653973075
